date,rank,song,artist
2024-04-20,1,Like That,"Future, Metro Boomin & Kendrick Lamar"
2024-04-20,2,Too Sweet,Hozier
2024-04-20,3,Beautiful Things,Benson Boone
2024-04-20,4,Lose Control,Teddy Swims
2024-04-20,5,Texas Hold 'Em,Beyonce
2024-04-20,6,7 Minute Drill,J. Cole
2024-04-20,7,Lovin On Me,Jack Harlow
2024-04-20,8,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-04-20,9,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
2024-04-20,10,Stick Season,Noah Kahan
2024-04-20,11,Wanna Be,GloRilla & Megan Thee Stallion
2024-04-20,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-04-20,13,Cruel Summer,Taylor Swift
2024-04-20,14,Greedy,Tate McRae
2024-04-20,15,Saturn,SZA
2024-04-20,16,I Like The Way You Kiss Me,Artemas
2024-04-20,17,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-04-20,18,Agora Hills,Doja Cat
2024-04-20,19,Crocodile Tearz,J. Cole
2024-04-20,20,Snooze,SZA
2024-04-20,21,Fast Car,Luke Combs
2024-04-20,22,Get It Sexyy,Sexyy Red
2024-04-20,23,End Of Beginning,Djo
2024-04-20,24,Water,Tyla
2024-04-20,25,Redrum,21 Savage
2024-04-20,26,Feather,Sabrina Carpenter
2024-04-20,27,Man Made A Bar,Morgan Wallen Featuring Eric Church
2024-04-20,28,Huntin' Wabbitz,J. Cole
2024-04-20,29,Pricey,"J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane"
2024-04-20,30,II Most Wanted,Beyonce & Miley Cyrus
2024-04-20,31,Never Lose Me,Flo Milli
2024-04-20,32,Austin,Dasha
2024-04-20,33,Made For Me,Muni Long
2024-04-20,34,Whatever She Wants,Bryson Tiller
2024-04-20,35,H.Y.B.,J. Cole Featuring Bas & Central Cee
2024-04-20,36,Act II: Date @ 8,4Batz Featuring Drake
2024-04-20,37,Cinderella,"Future, Metro Boomin & Travis Scott"
2024-04-20,38,Ready '24,J. Cole Featuring Cam'Ron
2024-04-20,39,Yeah Glo!,GloRilla
2024-04-20,40,Slow It Down,Benson Boone
2024-04-20,41,Where The Wild Things Are,Luke Combs
2024-04-20,42,Burn It Down,Parker McCollum
2024-04-20,43,Obsessed,Olivia Rodrigo
2024-04-20,44,Where It Ends,Bailey Zimmerman
2024-04-20,45,Houdini,Dua Lipa
2024-04-20,46,Paint The Town Red,Doja Cat
2024-04-20,47,FE!N,Travis Scott Featuring Playboi Carti
2024-04-20,48,Gata Only,FloyyMenor X Cris Mj
2024-04-20,49,Wild Ones,Jessie Murph & Jelly Roll
2024-04-20,50,Selfish,Justin Timberlake
2024-04-20,51,Jolene,Beyonce
2024-04-20,52,23,Chayce Beckham
2024-04-20,53,Stickz N Stonez,J. Cole
2024-04-20,54,Scared To Start,Michael Marcagi
2024-04-20,55,Wildflowers And Wild Horses,Lainey Wilson
2024-04-20,56,Young Metro,"Future, Metro Boomin & The Weeknd"
2024-04-20,57,Get In With Me,BossMan Dlow
2024-04-20,58,Enough (Miami),Cardi B
2024-04-20,59,Fever,J. Cole
2024-04-20,60,Cry,Benson Boone
2024-04-20,61,We Don't Trust You,Future & Metro Boomin
2024-04-20,62,Pi,J. Cole Featuring Daylyt & Ab-Soul
2024-04-20,63,Training Season,Dua Lipa
2024-04-20,64,La Diabla,Xavi
2024-04-20,65,Stealth Mode,J. Cole Featuring Bas
2024-04-20,66,Trae The Truth In Ibiza,J. Cole
2024-04-20,67,Levii's Jeans,Beyonce & Post Malone
2024-04-20,68,Mmhmm,BigXthaPlug
2024-04-20,69,Everybody,Nicki Minaj Featuring Lil Uzi Vert
2024-04-20,70,Bodyguard,Beyonce
2024-04-20,71,Soak City,310babii
2024-04-20,72,3001,J. Cole
2024-04-20,73,Hell N Back,Bakar Featuring Summer Walker
2024-04-20,74,Outskirts,Sam Hunt
2024-04-20,75,Praise Jah In The Moonlight,YG Marley
2024-04-20,76,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
2024-04-20,77,"Good Luck, Babe!",Chappell Roan
2024-04-20,78,Corazon de Piedra,Xavi
2024-04-20,79,FTCU,Nicki Minaj
2024-04-20,80,Tucson Too Late,Jordan Davis
2024-04-20,81,Tu Name,Fuerza Regida
2024-04-20,82,Wine Into Whiskey,Tucker Wetmore
2024-04-20,83,Bandit,Don Toliver
2024-04-20,84,Halfway To Hell,Jelly Roll
2024-04-20,85,Home,Good Neighbours
2024-04-20,86,Back Then Right Now,Tyler Hubbard
2024-04-20,87,Spin You Around (1/24),Morgan Wallen
2024-04-20,88,Tyrant,Beyonce & Dolly Parton
2024-04-20,89,"Yes, And?",Ariana Grande
2024-04-20,90,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts"
2024-04-20,91,Magnetic,ILLIT
2024-04-20,92,Wind Up Missin' You,Tucker Wetmore
2024-04-20,93,Ya Ya,Beyonce
2024-04-20,94,Bulletproof,Nate Smith
2024-04-20,95,The Boy Is Mine,Ariana Grande
2024-04-20,96,One Call,Rich Amiri
2024-04-20,97,We Ride,Bryan Martin
2024-04-20,98,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
2024-04-20,99,Let's Go,Key Glock
2024-04-20,100,16 Carriages,Beyonce
2024-04-13,1,Like That,"Future, Metro Boomin & Kendrick Lamar"
2024-04-13,2,Texas Hold 'Em,Beyonce
2024-04-13,3,Beautiful Things,Benson Boone
2024-04-13,4,Too Sweet,Hozier
2024-04-13,5,Lose Control,Teddy Swims
2024-04-13,6,II Most Wanted,Beyonce & Miley Cyrus
2024-04-13,7,Jolene,Beyonce
2024-04-13,8,Lovin On Me,Jack Harlow
2024-04-13,9,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-04-13,10,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
2024-04-13,11,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-04-13,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-04-13,13,Greedy,Tate McRae
2024-04-13,14,Cruel Summer,Taylor Swift
2024-04-13,15,Stick Season,Noah Kahan
2024-04-13,16,Levii's Jeans,Beyonce & Post Malone
2024-04-13,17,Snooze,SZA
2024-04-13,18,Fast Car,Luke Combs
2024-04-13,19,Saturn,SZA
2024-04-13,20,Get It Sexyy,Sexyy Red
2024-04-13,21,Agora Hills,Doja Cat
2024-04-13,22,Water,Tyla
2024-04-13,23,I Like The Way You Kiss Me,Artemas
2024-04-13,24,End Of Beginning,Djo
2024-04-13,25,Cinderella,"Future, Metro Boomin & Travis Scott"
2024-04-13,26,Bodyguard,Beyonce
2024-04-13,27,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts"
2024-04-13,28,Redrum,21 Savage
2024-04-13,29,Never Lose Me,Flo Milli
2024-04-13,30,Ameriican Requiem,Beyonce
2024-04-13,31,Spaghettii,"Beyonce, Linda Martell & Shaboozey"
2024-04-13,32,Feather,Sabrina Carpenter
2024-04-13,33,Man Made A Bar,Morgan Wallen Featuring Eric Church
2024-04-13,34,Whatever She Wants,Bryson Tiller
2024-04-13,35,Made For Me,Muni Long
2024-04-13,36,Act II: Date @ 8,4Batz Featuring Drake
2024-04-13,37,Daughter,Beyonce
2024-04-13,38,16 Carriages,Beyonce
2024-04-13,39,Ya Ya,Beyonce
2024-04-13,40,Young Metro,"Future, Metro Boomin & The Weeknd"
2024-04-13,41,Obsessed,Olivia Rodrigo
2024-04-13,42,Protector,Beyonce & Rumi Carter
2024-04-13,43,We Don't Trust You,Future & Metro Boomin
2024-04-13,44,Tyrant,Beyonce & Dolly Parton
2024-04-13,45,Houdini,Dua Lipa
2024-04-13,46,Where The Wild Things Are,Luke Combs
2024-04-13,47,Burn It Down,Parker McCollum
2024-04-13,48,Selfish,Justin Timberlake
2024-04-13,49,23,Chayce Beckham
2024-04-13,50,Paint The Town Red,Doja Cat
2024-04-13,51,Riiverdance,Beyonce
2024-04-13,52,Alliigator Tears,Beyonce
2024-04-13,53,FE!N,Travis Scott Featuring Playboi Carti
2024-04-13,54,My Rose,Beyonce
2024-04-13,55,Slow It Down,Benson Boone
2024-04-13,56,Yeah Glo!,GloRilla
2024-04-13,57,Austin,Dasha
2024-04-13,58,Wild Ones,Jessie Murph & Jelly Roll
2024-04-13,59,Just For Fun,Beyonce & Willie Jones
2024-04-13,60,II Hands II Heaven,Beyonce
2024-04-13,61,Sweet * Honey * Buckiin',Beyonce & Shaboozey
2024-04-13,62,Enough (Miami),Cardi B
2024-04-13,63,Flamenco,Beyonce
2024-04-13,64,Wildflowers And Wild Horses,Lainey Wilson
2024-04-13,65,Desert Eagle,Beyonce
2024-04-13,66,Get In With Me,BossMan Dlow
2024-04-13,67,Exes,Tate McRae
2024-04-13,68,Scared To Start,Michael Marcagi
2024-04-13,69,La Diabla,Xavi
2024-04-13,70,Oh Louisiana,Beyonce
2024-04-13,71,Training Season,Dua Lipa
2024-04-13,72,Ice Attack,Future & Metro Boomin
2024-04-13,73,Where It Ends,Bailey Zimmerman
2024-04-13,74,Gata Only,FloyyMenor X Cris Mj
2024-04-13,75,Everybody,Nicki Minaj Featuring Lil Uzi Vert
2024-04-13,76,Soak City,310babii
2024-04-13,77,Mmhmm,BigXthaPlug
2024-04-13,78,Slimed In,Future & Metro Boomin
2024-04-13,79,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
2024-04-13,80,Praise Jah In The Moonlight,YG Marley
2024-04-13,81,I Luv It,Camila Cabello & Playboi Carti
2024-04-13,82,The Boy Is Mine,Ariana Grande
2024-04-13,83,Corazon de Piedra,Xavi
2024-04-13,84,Bandit,Don Toliver
2024-04-13,85,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
2024-04-13,86,"Yes, And?",Ariana Grande
2024-04-13,87,Amen,Beyonce
2024-04-13,88,FTCU,Nicki Minaj
2024-04-13,89,Wind Up Missin' You,Tucker Wetmore
2024-04-13,90,Spin You Around (1/24),Morgan Wallen
2024-04-13,91,Fried (She A Vibe),Future & Metro Boomin
2024-04-13,92,Claustrophobic,Future & Metro Boomin
2024-04-13,93,Magic Don Juan (Princess Diana),Future & Metro Boomin
2024-04-13,94,Tu Name,Fuerza Regida
2024-04-13,95,Outskirts,Sam Hunt
2024-04-13,96,Everyday Hustle,"Future, Metro Boomin & Rick Ross"
2024-04-13,97,Back Then Right Now,Tyler Hubbard
2024-04-13,98,La People II,"Peso Pluma, Tito Double P & Joel de La P"
2024-04-13,99,Home,Good Neighbours
2024-04-13,100,Tucson Too Late,Jordan Davis
2024-04-06,1,Like That,"Future, Metro Boomin & Kendrick Lamar"
2024-04-06,2,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
2024-04-06,3,Beautiful Things,Benson Boone
2024-04-06,4,Lose Control,Teddy Swims
2024-04-06,5,Too Sweet,Hozier
2024-04-06,6,Cinderella,"Future, Metro Boomin & Travis Scott"
2024-04-06,7,Lovin On Me,Jack Harlow
2024-04-06,8,We Don't Trust You,Future & Metro Boomin
2024-04-06,9,Young Metro,"Future, Metro Boomin & The Weeknd"
2024-04-06,10,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-04-06,11,Texas Hold 'Em,Beyonce
2024-04-06,12,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-04-06,13,Ice Attack,Future & Metro Boomin
2024-04-06,14,Obsessed,Olivia Rodrigo
2024-04-06,15,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-04-06,16,Cruel Summer,Taylor Swift
2024-04-06,17,Greedy,Tate McRae
2024-04-06,18,Stick Season,Noah Kahan
2024-04-06,19,Water,Tyla
2024-04-06,20,Slimed In,Future & Metro Boomin
2024-04-06,21,End Of Beginning,Djo
2024-04-06,22,Agora Hills,Doja Cat
2024-04-06,23,Snooze,SZA
2024-04-06,24,Claustrophobic,Future & Metro Boomin
2024-04-06,25,Fast Car,Luke Combs
2024-04-06,26,Saturn,SZA
2024-04-06,27,Magic Don Juan (Princess Diana),Future & Metro Boomin
2024-04-06,28,Get It Sexyy,Sexyy Red
2024-04-06,29,Never Lose Me,Flo Milli
2024-04-06,30,Redrum,21 Savage
2024-04-06,31,Act II: Date @ 8,4Batz Featuring Drake
2024-04-06,32,Whatever She Wants,Bryson Tiller
2024-04-06,33,Fried (She A Vibe),Future & Metro Boomin
2024-04-06,34,Made For Me,Muni Long
2024-04-06,35,Feather,Sabrina Carpenter
2024-04-06,36,Runnin Outta Time,Future & Metro Boomin
2024-04-06,37,Man Made A Bar,Morgan Wallen Featuring Eric Church
2024-04-06,38,Everyday Hustle,"Future, Metro Boomin & Rick Ross"
2024-04-06,39,Truck Bed,HARDY
2024-04-06,40,GTA,Future & Metro Boomin
2024-04-06,41,Ain't No Love,Future & Metro Boomin
2024-04-06,42,Houdini,Dua Lipa
2024-04-06,43,Paint The Town Red,Doja Cat
2024-04-06,44,Enough (Miami),Cardi B
2024-04-06,45,Slow It Down,Benson Boone
2024-04-06,46,Selfish,Justin Timberlake
2024-04-06,47,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
2024-04-06,48,23,Chayce Beckham
2024-04-06,49,Yeah Glo!,GloRilla
2024-04-06,50,Where The Wild Things Are,Luke Combs
2024-04-06,51,Burn It Down,Parker McCollum
2024-04-06,52,WTFYM,Future & Metro Boomin
2024-04-06,53,Austin,Dasha
2024-04-06,54,Seen It All,Future & Metro Boomin
2024-04-06,55,Wild Ones,Jessie Murph & Jelly Roll
2024-04-06,56,La Diabla,Xavi
2024-04-06,57,Exes,Tate McRae
2024-04-06,58,So American,Olivia Rodrigo
2024-04-06,59,Wildflowers And Wild Horses,Lainey Wilson
2024-04-06,60,The Boy Is Mine,Ariana Grande
2024-04-06,61,"Yes, And?",Ariana Grande
2024-04-06,62,Where My Twin @,Future & Metro Boomin
2024-04-06,63,Get In With Me,BossMan Dlow
2024-04-06,64,Soak City,310babii
2024-04-06,65,Scared To Start,Michael Marcagi
2024-04-06,66,Everybody,Nicki Minaj Featuring Lil Uzi Vert
2024-04-06,67,Praise Jah In The Moonlight,YG Marley
2024-04-06,68,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
2024-04-06,69,La People II,"Peso Pluma, Tito Double P & Joel de La P"
2024-04-06,70,I Like The Way You Kiss Me,Artemas
2024-04-06,71,Training Season,Dua Lipa
2024-04-06,72,Punteria,Shakira & Cardi B
2024-04-06,73,Corazon de Piedra,Xavi
2024-04-06,74,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
2024-04-06,75,Stranger,Olivia Rodrigo
2024-04-06,76,Mmhmm,BigXthaPlug
2024-04-06,77,Bandit,Don Toliver
2024-04-06,78,Surround Sound,JID Featuring 21 Savage & Baby Tate
2024-04-06,79,Where It Ends,Bailey Zimmerman
2024-04-06,80,Supernatural,Ariana Grande
2024-04-06,81,Tu Name,Fuerza Regida
2024-04-06,82,FTCU,Nicki Minaj
2024-04-06,83,Gata Only,FloyyMenor X Cris Mj
2024-04-06,84,I Can Feel It,Kane Brown
2024-04-06,85,Breathe,Yeat
2024-04-06,86,Bye,Ariana Grande
2024-04-06,87,Eternal Sunshine,Ariana Grande
2024-04-06,88,Wildflower And Barley,Hozier & Allison Russell
2024-04-06,89,Sensational,Chris Brown Featuring Davido & Lojay
2024-04-06,90,Scared Of My Guitar,Olivia Rodrigo
2024-04-06,91,Spin You Around (1/24),Morgan Wallen
2024-04-06,92,One Call,Rich Amiri
2024-04-06,93,Best For Me,Joyner Lucas & Jelly Roll
2024-04-06,94,You Broke My Heart,Drake
2024-04-06,95,Home,Good Neighbours
2024-04-06,96,La Victima,Xavi
2024-04-06,97,Tucson Too Late,Jordan Davis
2024-04-06,98,Empire Now,Hozier
2024-04-06,99,Girl I've Always Been,Olivia Rodrigo
2024-04-06,100,Outskirts,Sam Hunt
2024-03-30,1,Lose Control,Teddy Swims
2024-03-30,2,Beautiful Things,Benson Boone
2024-03-30,3,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-03-30,4,Lovin On Me,Jack Harlow
2024-03-30,5,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-03-30,6,Texas Hold 'Em,Beyonce
2024-03-30,7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-03-30,8,Greedy,Tate McRae
2024-03-30,9,Enough (Miami),Cardi B
2024-03-30,10,Cruel Summer,Taylor Swift
2024-03-30,11,End Of Beginning,Djo
2024-03-30,12,Stick Season,Noah Kahan
2024-03-30,13,Agora Hills,Doja Cat
2024-03-30,14,Snooze,SZA
2024-03-30,15,Never Lose Me,Flo Milli
2024-03-30,16,Last Night,Morgan Wallen
2024-03-30,17,Saturn,SZA
2024-03-30,18,Fast Car,Luke Combs
2024-03-30,19,Act II: Date @ 8,4Batz Featuring Drake
2024-03-30,20,Water,Tyla
2024-03-30,21,Thinkin' Bout Me,Morgan Wallen
2024-03-30,22,Redrum,21 Savage
2024-03-30,23,Get It Sexyy,Sexyy Red
2024-03-30,24,Whatever She Wants,Bryson Tiller
2024-03-30,25,Made For Me,Muni Long
2024-03-30,26,Feather,Sabrina Carpenter
2024-03-30,27,Truck Bed,HARDY
2024-03-30,28,Man Made A Bar,Morgan Wallen Featuring Eric Church
2024-03-30,29,Houdini,Dua Lipa
2024-03-30,30,Selfish,Justin Timberlake
2024-03-30,31,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
2024-03-30,32,Paint The Town Red,Doja Cat
2024-03-30,33,What Was I Made For?,Billie Eilish
2024-03-30,34,The Boy Is Mine,Ariana Grande
2024-03-30,35,Yeah Glo!,GloRilla
2024-03-30,36,"Yes, And?",Ariana Grande
2024-03-30,37,Wild Ones,Jessie Murph & Jelly Roll
2024-03-30,38,Save Me,Jelly Roll With Lainey Wilson
2024-03-30,39,Pretty Little Poison,Warren Zeiders
2024-03-30,40,Supernatural,Ariana Grande
2024-03-30,41,Where The Wild Things Are,Luke Combs
2024-03-30,42,Burn It Down,Parker McCollum
2024-03-30,43,Exes,Tate McRae
2024-03-30,44,La Diabla,Xavi
2024-03-30,45,23,Chayce Beckham
2024-03-30,46,Vampire,Olivia Rodrigo
2024-03-30,47,FE!N,Travis Scott Featuring Playboi Carti
2024-03-30,48,Wildflowers And Wild Horses,Lainey Wilson
2024-03-30,49,Eternal Sunshine,Ariana Grande
2024-03-30,50,Get In With Me,BossMan Dlow
2024-03-30,51,Everybody,Nicki Minaj Featuring Lil Uzi Vert
2024-03-30,52,Bye,Ariana Grande
2024-03-30,53,Soak City,310babii
2024-03-30,54,Prada Dem,Gunna Featuring Offset
2024-03-30,55,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
2024-03-30,56,Scared To Start,Michael Marcagi
2024-03-30,57,Surround Sound,JID Featuring 21 Savage & Baby Tate
2024-03-30,58,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
2024-03-30,59,Austin,Dasha
2024-03-30,60,Bandit,Don Toliver
2024-03-30,61,Training Season,Dua Lipa
2024-03-30,62,Praise Jah In The Moonlight,YG Marley
2024-03-30,63,I Can Feel It,Kane Brown
2024-03-30,64,Breathe,Yeat
2024-03-30,65,FRI(END)S,V
2024-03-30,66,True Story,Ariana Grande
2024-03-30,67,Where It Ends,Bailey Zimmerman
2024-03-30,68,Don't Wanna Break Up Again,Ariana Grande
2024-03-30,69,You Broke My Heart,Drake
2024-03-30,70,Mmhmm,BigXthaPlug
2024-03-30,71,FTCU,Nicki Minaj
2024-03-30,72,Imperfect For You,Ariana Grande
2024-03-30,73,Sensational,Chris Brown Featuring Davido & Lojay
2024-03-30,74,Tu Name,Fuerza Regida
2024-03-30,75,One Call,Rich Amiri
2024-03-30,76,Deeper Well,Kacey Musgraves
2024-03-30,77,La Victima,Xavi
2024-03-30,78,Spin You Around (1/24),Morgan Wallen
2024-03-30,79,Intro (End Of The World),Ariana Grande
2024-03-30,80,Home,Good Neighbours
2024-03-30,81,Tucson Too Late,Jordan Davis
2024-03-30,82,Harley Quinn,Fuerza Regida & Marshmello
2024-03-30,83,Back Then Right Now,Tyler Hubbard
2024-03-30,84,Perro Negro,Bad Bunny & Feid
2024-03-30,85,I Wish I Hated You,Ariana Grande
2024-03-30,86,Murder On The Dancefloor,Sophie Ellis-Bextor
2024-03-30,87,Coal,Dylan Gossett
2024-03-30,88,Let's Go,Key Glock
2024-03-30,89,Nee-nah,"21 Savage, Travis Scott & Metro Boomin"
2024-03-30,90,Bellakeo,Peso Pluma & Anitta
2024-03-30,91,Like What (Freestyle),Cardi B
2024-03-30,92,Outskirts,Sam Hunt
2024-03-30,93,Mr Pot Scraper,BossMan Dlow
2024-03-30,94,Holy Smokes,Bailey Zimmerman
2024-03-30,95,Baby Please,Ivan Cornejo
2024-03-30,96,We Ride,Bryan Martin
2024-03-30,97,Tourniquet,Zach Bryan
2024-03-30,98,Gata Only,FloyyMenor X Cris Mj
2024-03-30,99,Igual Que Un Angel,Kali Uchis & Peso Pluma
2024-03-30,100,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
2024-03-23,1,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-03-23,2,Lose Control,Teddy Swims
2024-03-23,3,Beautiful Things,Benson Boone
2024-03-23,4,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-03-23,5,Lovin On Me,Jack Harlow
2024-03-23,6,Texas Hold 'Em,Beyonce
2024-03-23,7,Act II: Date @ 8,4Batz Featuring Drake
2024-03-23,8,Greedy,Tate McRae
2024-03-23,9,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-03-23,10,"Yes, And?",Ariana Grande
2024-03-23,11,Snooze,SZA
2024-03-23,12,Agora Hills,Doja Cat
2024-03-23,13,Cruel Summer,Taylor Swift
2024-03-23,14,Saturn,SZA
2024-03-23,15,Stick Season,Noah Kahan
2024-03-23,16,The Boy Is Mine,Ariana Grande
2024-03-23,17,Supernatural,Ariana Grande
2024-03-23,18,Last Night,Morgan Wallen
2024-03-23,19,Water,Tyla
2024-03-23,20,Fast Car,Luke Combs
2024-03-23,21,End Of Beginning,Djo
2024-03-23,22,Redrum,21 Savage
2024-03-23,23,Eternal Sunshine,Ariana Grande
2024-03-23,24,Whatever She Wants,Bryson Tiller
2024-03-23,25,Bye,Ariana Grande
2024-03-23,26,Thinkin' Bout Me,Morgan Wallen
2024-03-23,27,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
2024-03-23,28,Don't Wanna Break Up Again,Ariana Grande
2024-03-23,29,Made For Me,Muni Long
2024-03-23,30,True Story,Ariana Grande
2024-03-23,31,Houdini,Dua Lipa
2024-03-23,32,Paint The Town Red,Doja Cat
2024-03-23,33,Feather,Sabrina Carpenter
2024-03-23,34,Never Lose Me,Flo Milli
2024-03-23,35,What Was I Made For?,Billie Eilish
2024-03-23,36,Truck Bed,HARDY
2024-03-23,37,Imperfect For You,Ariana Grande
2024-03-23,38,Intro (End Of The World),Ariana Grande
2024-03-23,39,I Wish I Hated You,Ariana Grande
2024-03-23,40,Selfish,Justin Timberlake
2024-03-23,41,Yeah Glo!,GloRilla
2024-03-23,42,Pretty Little Poison,Warren Zeiders
2024-03-23,43,Wild Ones,Jessie Murph & Jelly Roll
2024-03-23,44,La Diabla,Xavi
2024-03-23,45,Save Me,Jelly Roll With Lainey Wilson
2024-03-23,46,Where The Wild Things Are,Luke Combs
2024-03-23,47,Exes,Tate McRae
2024-03-23,48,Vampire,Olivia Rodrigo
2024-03-23,49,The Painter,Cody Johnson
2024-03-23,50,FE!N,Travis Scott Featuring Playboi Carti
2024-03-23,51,Man Made A Bar,Morgan Wallen Featuring Eric Church
2024-03-23,52,23,Chayce Beckham
2024-03-23,53,Burn It Down,Parker McCollum
2024-03-23,54,I Can Feel It,Kane Brown
2024-03-23,55,Ordinary Things,Ariana Grande Featuring Nonna
2024-03-23,56,Wildflowers And Wild Horses,Lainey Wilson
2024-03-23,57,Praise Jah In The Moonlight,YG Marley
2024-03-23,58,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
2024-03-23,59,Everybody,Nicki Minaj Featuring Lil Uzi Vert
2024-03-23,60,World On Fire,Nate Smith
2024-03-23,61,Surround Sound,JID Featuring 21 Savage & Baby Tate
2024-03-23,62,Soak City,310babii
2024-03-23,63,Get In With Me,BossMan Dlow
2024-03-23,64,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
2024-03-23,65,Breathe,Yeat
2024-03-23,66,You Broke My Heart,Drake
2024-03-23,67,Scared To Start,Michael Marcagi
2024-03-23,68,Training Season,Dua Lipa
2024-03-23,69,Murder On The Dancefloor,Sophie Ellis-Bextor
2024-03-23,70,One Call,Rich Amiri
2024-03-23,71,FTCU,Nicki Minaj
2024-03-23,72,Sensational,Chris Brown Featuring Davido & Lojay
2024-03-23,73,Where It Ends,Bailey Zimmerman
2024-03-23,74,Austin,Dasha
2024-03-23,75,Tu Name,Fuerza Regida
2024-03-23,76,La Victima,Xavi
2024-03-23,77,Spin You Around (1/24),Morgan Wallen
2024-03-23,78,Bandit,Don Toliver
2024-03-23,79,Oklahoma Smokeshow,Zach Bryan
2024-03-23,80,Mmhmm,BigXthaPlug
2024-03-23,81,Harley Quinn,Fuerza Regida & Marshmello
2024-03-23,82,Perro Negro,Bad Bunny & Feid
2024-03-23,83,Home,Good Neighbours
2024-03-23,84,Like What (Freestyle),Cardi B
2024-03-23,85,Nee-nah,"21 Savage, Travis Scott & Metro Boomin"
2024-03-23,86,Bellakeo,Peso Pluma & Anitta
2024-03-23,87,Holy Smokes,Bailey Zimmerman
2024-03-23,88,Standing Next To You,Jung Kook
2024-03-23,89,Let's Go,Key Glock
2024-03-23,90,Coal,Dylan Gossett
2024-03-23,91,Burn,¥$: Ye & Ty Dolla $ign
2024-03-23,92,Tucson Too Late,Jordan Davis
2024-03-23,93,Contigo,Karol G & Tiesto
2024-03-23,94,Igual Que Un Angel,Kali Uchis & Peso Pluma
2024-03-23,95,My Eyes,Travis Scott
2024-03-23,96,Back Then Right Now,Tyler Hubbard
2024-03-23,97,Tourniquet,Zach Bryan
2024-03-23,98,Outskirts,Sam Hunt
2024-03-23,99,Worth It,Offset & Don Toliver
2024-03-23,100,Fuk Sumn,¥$: Ye & Ty Dolla $ign
2024-03-16,1,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-03-16,2,Lose Control,Teddy Swims
2024-03-16,3,Lovin On Me,Jack Harlow
2024-03-16,4,Beautiful Things,Benson Boone
2024-03-16,5,Texas Hold 'Em,Beyonce
2024-03-16,6,Greedy,Tate McRae
2024-03-16,7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-03-16,8,Snooze,SZA
2024-03-16,9,Agora Hills,Doja Cat
2024-03-16,10,Cruel Summer,Taylor Swift
2024-03-16,11,Stick Season,Noah Kahan
2024-03-16,12,Redrum,21 Savage
2024-03-16,13,Saturn,SZA
2024-03-16,14,Fast Car,Luke Combs
2024-03-16,15,Last Night,Morgan Wallen
2024-03-16,16,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
2024-03-16,17,Water,Tyla
2024-03-16,18,Thinkin' Bout Me,Morgan Wallen
2024-03-16,19,Whatever She Wants,Bryson Tiller
2024-03-16,20,Made For Me,Muni Long
2024-03-16,21,Flowers,Miley Cyrus
2024-03-16,22,Houdini,Dua Lipa
2024-03-16,23,End Of Beginning,Djo
2024-03-16,24,Pretty Little Poison,Warren Zeiders
2024-03-16,25,Paint The Town Red,Doja Cat
